ResponseID,BranchNum,Date_of_Survey,Time_of_Survey,SurveyQuestion1,SurveyQuestion2
1273,19,2/16/2020 0:00,1:47:00 PM,5,5
1274,16,2/16/2020 0:00,3:36:00 PM,5,5
1275,13,2/16/2020 0:00,4:00:00 PM,4,4
1276,16,2/16/2020 0:00,5:59:00 PM,4,2
1277,23,2/15/2020 0:00,4:49:00 AM,4,4
1278,32,2/15/2020 0:00,5:54:00 AM,5,5
1279,16,2/15/2020 0:00,7:18:00 AM,3,4
1280,40,2/15/2020 0:00,7:33:00 AM,5,5
1281,9,2/15/2020 0:00,7:53:00 AM,4,4
1282,27,2/15/2020 0:00,8:41:00 AM,2,4
1283,9,2/15/2020 0:00,11:27:00 AM,4,4
1284,12,2/15/2020 0:00,1:52:00 PM,5,5
1285,12,2/15/2020 0:00,7:02:00 PM,5,3
1286,30,2/14/2020 0:00,1:10:00 PM,5,5
1287,2,2/14/2020 0:00,6:52:00 AM,5,5
1288,9,2/14/2020 0:00,7:02:00 AM,5,5
1289,9,2/14/2020 0:00,6:23:00 AM,5,5
1290,22,2/13/2020 0:00,10:16:00 AM,5,5
1291,23,2/13/2020 0:00,2:34:00 PM,3,4
1292,32,2/13/2020 0:00,8:55:00 PM,5,5
1293,13,2/13/2020 0:00,4:14:00 AM,5,5
1294,9,2/13/2020 0:00,5:15:00 AM,4,5
1295,9,2/12/2020 0:00,8:40:00 AM,5,5
1296,13,2/12/2020 0:00,10:24:00 AM,5,5
1297,20,2/12/2020 0:00,10:49:00 AM,5,5
1298,7,2/12/2020 0:00,3:00:00 PM,4,4
1299,9,2/12/2020 0:00,9:51:00 PM,4,4
1300,2,2/12/2020 0:00,11:21:00 PM,4,4
1301,40,2/12/2020 0:00,4:24:00 AM,5,5
1302,26,2/12/2020 0:00,5:07:00 AM,5,5
1303,31,2/12/2020 0:00,6:23:00 AM,4,4
1304,9,2/12/2020 0:00,8:34:00 AM,4,4
1305,22,2/11/2020 0:00,7:57:00 AM,5,5
1306,9,2/11/2020 0:00,4:16:00 AM,5,5
1307,25,2/11/2020 0:00,7:21:00 AM,4,4
1308,22,2/11/2020 0:00,7:53:00 AM,5,5
1309,2,2/10/2020 0:00,6:33:00 AM,5,5
1310,15,2/10/2020 0:00,12:35:00 PM,4,4
1311,9,2/9/2020 0:00,10:01:00 AM,3,3
1312,8,2/9/2020 0:00,11:54:00 AM,4,4
1313,31,2/9/2020 0:00,2:31:00 PM,5,5
1314,2,2/9/2020 0:00,2:45:00 PM,5,5
1315,24,2/9/2020 0:00,6:04:00 PM,4,5
1316,32,2/8/2020 0:00,4:58:00 AM,5,5
1317,23,2/8/2020 0:00,5:33:00 AM,2,3
1318,32,2/8/2020 0:00,7:27:00 AM,5,5
1319,32,2/8/2020 0:00,10:04:00 AM,5,5
1320,9,2/8/2020 0:00,10:02:00 AM,4,4
1321,25,2/8/2020 0:00,11:50:00 AM,5,5
1322,32,2/8/2020 0:00,12:00:00 PM,4,4
1323,32,2/8/2020 0:00,1:40:00 PM,5,5
1324,25,2/8/2020 0:00,2:26:00 PM,5,5
1325,9,2/8/2020 0:00,3:00:00 PM,5,5
1326,3,2/8/2020 0:00,3:15:00 PM,5,5
